partyId,frenchCode,englishCode,color,incumbentCode,incumbent,votesPercentage,votesLead,votes,candidateId,candidateLastName,candidateFirstName,votesPosition,candidateStatus,REGION,RIDING NUM,Party Name,PROVINCE
3088,PLC,LIB,-3790556,x,FormerPartyAndMP,0.460884395778234,6108,18646,106352,McDonald,Kenneth,1,"['Elected', 'ReElected']",Avalon,1,Liberal Party of Canada,Newfoundland
3085,PCC,CON,-14858112,,,0.309909286402847,-6108,12538,106356,Chapman,Matthew,2,['ResultToCome'],Avalon,1,Conservative Party of Canada,Newfoundland
3091,NPD,NDP,-2458617,,,0.175519687569518,-11545,7101,106355,Movelle,Lea Mary,3,['ResultToCome'],Avalon,1,New Democratic Party,Newfoundland
3086,PVC,GRN,-12738757,,,0.0536866302494006,-16474,2172,106353,Malone,Greg,4,['ResultToCome'],Avalon,1,Green Party of Canada,Newfoundland
3088,PLC,LIB,-3790556,x,FormerPartyAndMP,0.456935940073975,2004,14701,106357,Rogers,Churence,1,"['Elected', 'ReElected']",Bonavista-Burin-Trinity,2,Liberal Party of Canada,Newfoundland
3085,PCC,CON,-14858112,,,0.394647685947844,-2004,12697,106360,Vokey,Sharon,2,['ResultToCome'],Bonavista-Burin-Trinity,2,Conservative Party of Canada,Newfoundland
3091,NPD,NDP,-2458617,,,0.119820967892332,-10846,3855,106358,Cooper,Matthew,3,['ResultToCome'],Bonavista-Burin-Trinity,2,New Democratic Party,Newfoundland
3086,PVC,GRN,-12738757,,,0.0285954060858484,-13781,920,106359,Reichel,Kelsey,4,['ResultToCome'],Bonavista-Burin-Trinity,2,Green Party of Canada,Newfoundland
3088,PLC,LIB,-3790556,x,FormerPartyAndMP,0.481745838901713,4166,15861,106371,Simms,Scott,1,"['Elected', 'ReElected']",Coast of Bays-Central-Notre Dame,3,Liberal Party of Canada,Newfoundland
3085,PCC,CON,-14858112,,,0.355212003401774,-4166,11695,106370,Bracci,Alex,2,['ResultToCome'],Coast of Bays-Central-Notre Dame,3,Conservative Party of Canada,Newfoundland
3091,NPD,NDP,-2458617,,,0.123253553638683,-11803,4058,106369,Joe,Noel,3,['ResultToCome'],Coast of Bays-Central-Notre Dame,3,New Democratic Party,Newfoundland
3086,PVC,GRN,-12738757,,,0.0397886040578302,-14551,1310,106368,White,Byron,4,['ResultToCome'],Coast of Bays-Central-Notre Dame,3,Green Party of Canada,Newfoundland
3088,PLC,LIB,-3790556,x,FormerPartyAndMP,0.417854187735589,1096,4545,106366,Jones,Yvonne,1,"['Elected', 'ReElected']",Labrador,4,Liberal Party of Canada,Newfoundland
3085,PCC,CON,-14858112,,,0.317091109680978,-1096,3449,106367,Flemming,Larry,2,['ResultToCome'],Labrador,4,Conservative Party of Canada,Newfoundland
3091,NPD,NDP,-2458617,,,0.24675921669578,-1861,2684,106365,Gray,Michelene,3,['ResultToCome'],Labrador,4,New Democratic Party,Newfoundland
3086,PVC,GRN,-12738757,,,0.0182954858876528,-4346,199,108517,Colbourne,Tyler,4,['ResultToCome'],Labrador,4,Green Party of Canada,Newfoundland
3088,PLC,LIB,-3790556,x,FormerPartyAndMP,0.473674612478833,7308,18182,106361,Hutchings,Gudie,1,"['Elected', 'ReElected']",Long Range Mountains,5,Liberal Party of Canada,Newfoundland
3085,PCC,CON,-14858112,,,0.283287742607789,-7308,10874,106364,Eisses,Josh,2,['ResultToCome'],Long Range Mountains,5,Conservative Party of Canada,Newfoundland
3091,NPD,NDP,-2458617,,,0.197837697017064,-10588,7594,106363,Pike,Holly,3,['ResultToCome'],Long Range Mountains,5,New Democratic Party,Newfoundland
3086,PVC,GRN,-12738757,,,0.0345447440406409,-16856,1326,106362,Knill,Lucas,4,['ResultToCome'],Long Range Mountains,5,Green Party of Canada,Newfoundland
3121,VCP,VCP,,,,0.0106552038556728,-17773,409,108820,Miles,Robert,5,['ResultToCome'],Long Range Mountains,5,Veterans Coalition Party of Canada,Newfoundland
3091,NPD,NDP,-2458617,,,0.468956348327055,6203,21164,106376,Harris,Jack,1,"['Elected', 'ElectedWithGain']",St. John's East,6,New Democratic Party,Newfoundland
3088,PLC,LIB,-3790556,x,FormerPartyAndMP,0.331508974074895,-6203,14961,106373,Whalen,Nick,2,['ResultToCome'],St. John's East,6,Liberal Party of Canada,Newfoundland
3085,PCC,CON,-14858112,,,0.18140926213162,-12977,8187,106372,Wall,Joedy,3,['ResultToCome'],St. John's East,6,Conservative Party of Canada,Newfoundland
3086,PVC,GRN,-12738757,,,0.0181254154664303,-20346,818,106374,Peters,David,4,['ResultToCome'],St. John's East,6,Green Party of Canada,Newfoundland
3088,PLC,LIB,-3790556,x,FormerPartyAndMP,0.508528622766614,9391,20094,106378,O'Regan,Seamus,1,"['Elected', 'ReElected']",St. John's South-Mount Pearl,7,Liberal Party of Canada,Newfoundland
3091,NPD,NDP,-2458617,,,0.270866022169358,-9391,10703,106377,Anonsen,Anne Marie,2,['ResultToCome'],St. John's South-Mount Pearl,7,New Democratic Party,Newfoundland
3085,PCC,CON,-14858112,,,0.1907425216379,-12557,7537,106380,Martin,Terry,3,['ResultToCome'],St. John's South-Mount Pearl,7,Conservative Party of Canada,Newfoundland
3086,PVC,GRN,-12738757,,,0.0181454674292656,-19377,717,106379,Hayward,Alexandra,4,['ResultToCome'],St. John's South-Mount Pearl,7,Green Party of Canada,Newfoundland
3108,PPC,PP,-12309125,,,0.00825024042111657,-19768,326,108570,Ruckpaul,Benjamin,5,['ResultToCome'],St. John's South-Mount Pearl,7,People's Party of Canada,Newfoundland
3083,PHC,CHP,-5542525,,,0.00346712557574531,-19957,137,108891,Jones,David,6,['ResultToCome'],St. John's South-Mount Pearl,7,Christian Heritage Party,Newfoundland
3088,PLC,LIB,-3790556,x,FormerPartyAndMP,0.492556574641656,4384,10687,106385,MacAulay,Lawrence,1,"['Elected', 'ReElected']",Cardigan,8,Liberal Party of Canada,Prince Edward Island
3085,PCC,CON,-14858112,,,0.290500990920404,-4384,6303,106382,Phelan,Wayne,2,['ResultToCome'],Cardigan,8,Conservative Party of Canada,Prince Edward Island
3086,PVC,GRN,-12738757,,,0.138544499239526,-7681,3006,106383,Beaton,Glen,3,['ResultToCome'],Cardigan,8,Green Party of Canada,Prince Edward Island
3091,NPD,NDP,-2458617,,,0.0676591233811126,-9219,1468,106381,Thiele,Lynne,4,['ResultToCome'],Cardigan,8,New Democratic Party,Prince Edward Island
3083,PHC,CHP,-5542525,,,0.0107388118173019,-10454,233,106384,Squires,Christene,5,['ResultToCome'],Cardigan,8,Christian Heritage Party,Prince Edward Island
3088,PLC,LIB,-3790556,x,FormerPartyAndMP,0.441980054020362,4051,8509,106387,Casey,Sean,1,"['Elected', 'ReElected']",Charlottetown,9,Liberal Party of Canada,Prince Edward Island
3086,PVC,GRN,-12738757,,,0.231560357365469,-4051,4458,106389,Lanthier,Darcie,2,['ResultToCome'],Charlottetown,9,Green Party of Canada,Prince Edward Island
3085,PCC,CON,-14858112,,,0.203822979430708,-4585,3924,106388,Campbell,Robert A.,3,['ResultToCome'],Charlottetown,9,Conservative Party of Canada,Prince Edward Island
3091,NPD,NDP,-2458617,,,0.113910243091627,-6316,2193,106386,Byrne,Joe,4,['ResultToCome'],Charlottetown,9,New Democratic Party,Prince Edward Island
3083,PHC,CHP,-5542525,,,0.00872636609183461,-8341,168,108571,MacLeod,Fred,5,['ResultToCome'],Charlottetown,9,Christian Heritage Party,Prince Edward Island
3088,PLC,LIB,-3790556,x,FormerPartyAndMP,0.394217651379998,897,7513,106391,Morrissey,Bobby,1,"['Elected', 'ReElected']",Egmont,10,Liberal Party of Canada,Prince Edward Island
3085,PCC,CON,-14858112,,,0.347150802812467,-897,6616,106393,McLellan,Logan,2,['ResultToCome'],Egmont,10,Conservative Party of Canada,Prince Edward Island
3086,PVC,GRN,-12738757,,,0.196610347360688,-3766,3747,106392,Clark,Alex,3,['ResultToCome'],Egmont,10,Green Party of Canada,Prince Edward Island
3091,NPD,NDP,-2458617,,,0.0620211984468465,-6331,1182,106390,Dunn,Sharon,4,['ResultToCome'],Egmont,10,New Democratic Party,Prince Edward Island
3088,PLC,LIB,-3790556,x,FormerPartyAndMP,0.413938341293964,3430,9533,106394,Easter,Wayne,1,"['Elected', 'ReElected']",Malpeque,11,Liberal Party of Canada,Prince Edward Island
3086,PVC,GRN,-12738757,,,0.265002171081198,-3430,6103,106395,Keenan,Anna,2,['ResultToCome'],Malpeque,11,Green Party of Canada,Prince Edward Island
3085,PCC,CON,-14858112,,,0.256144159791576,-3634,5899,106396,Stewart,Stephen,3,['ResultToCome'],Malpeque,11,Conservative Party of Canada,Prince Edward Island
3091,NPD,NDP,-2458617,,,0.064915327833261,-8038,1495,106397,Nash,Craig,4,['ResultToCome'],Malpeque,11,New Democratic Party,Prince Edward Island
3088,PLC,LIB,-3790556,y,FormerLeadingParty,0.384571278400268,1619,16097,106399,Kelloway,Mike,1,['Elected'],Cape Breton-Canso,12,Liberal Party of Canada,Nova Scotia
